ts,beam_id,power,wave,pulse,err,date,shift,laser_type,status
1600022040,33,43.865273,90.87072,3.1608627,0,2020-09-13 18:34:00,day,Diode,OK
1600034199,13,72.26742,25.688148,20.043594,0,2020-09-13 21:56:39,day,Diode,OK
1600037246,66,19.763985,95.48578,10.450898,0,2020-09-13 22:47:26,night,Nd:YAG,OK
1600068762,83,54.791325,53.108006,6.426904,0,2020-09-14 07:32:42,morning,Diode,OK
1600069560,18,47.282642,24.527264,7.9323926,0,2020-09-14 07:46:00,morning,Diode,OK
1600100315,66,70.17278,6.078584,1.6297754,0,2020-09-14 16:18:35,day,Nd:YAG,OK
1600106027,32,36.661106,64.20544,12.162906,0,2020-09-14 17:53:47,day,Fiber,OK
1600130630,74,49.070713,79.75358,2.8148417,0,2020-09-15 00:43:50,night,Excimer,OK
1600161099,96,99.31459,33.57276,17.131021,0,2020-09-15 09:11:39,morning,Nd:YAG,OK
1600221019,81,48.35409,42.88747,9.211537,0,2020-09-16 01:50:19,night,Nd:YAG,OK
1600243198,97,58.506393,51.439445,6.2481,0,2020-09-16 07:59:58,morning,Fiber,OK
1600272506,12,0.80863506,77.17932,0.9950299,0,2020-09-16 16:08:26,day,Fiber,WARNING
1600272793,10,85.35935,16.153091,3.9118416,0,2020-09-16 16:13:13,day,CO2,OK
1600278846,17,108.621185,23.708279,14.184467,0,2020-09-16 17:54:06,day,Fiber,WARNING
1600281180,36,65.33073,95.21317,4.3075595,0,2020-09-16 18:33:00,day,Nd:YAG,OK
1600328497,3,29.09931,4.043597,12.45976,0,2020-09-17 07:41:37,morning,Diode,OK
1600343224,40,76.08977,47.86077,10.63378,0,2020-09-17 11:47:04,morning,CO2,OK
1600360008,41,100.74526,0.31677058,85.33052,0,2020-09-17 16:26:48,day,Nd:YAG,WARNING
1600365270,99,21.564255,51.537235,20.357008,0,2020-09-17 17:54:30,day,Excimer,OK
1600376308,78,60.237442,74.75073,6.943973,0,2020-09-17 20:58:28,day,Diode,OK
1600377531,13,73.433754,31.53494,14.102457,0,2020-09-17 21:18:51,day,Diode,OK
1600405002,16,78.40719,65.322655,7.0131135,0,2020-09-18 04:56:42,night,Nd:YAG,OK
1600470075,63,90.59117,17.33697,5.560777,0,2020-09-18 23:01:15,night,Diode,OK
1600476775,43,68.54756,7.8743944,16.184658,0,2020-09-19 00:52:55,night,Diode,OK
1600524944,21,62.840622,6.8332543,9.358212,0,2020-09-19 14:15:44,day,Nd:YAG,OK
1600545542,61,54.081936,51.117245,4.928639,0,2020-09-19 19:59:02,day,Nd:YAG,OK
1600562334,2,42.974335,73.86617,2.2567503,0,2020-09-20 00:38:54,night,Fiber,OK
1600581803,51,44.267445,17.137932,8.634709,0,2020-09-20 06:03:23,morning,Nd:YAG,OK
1600616147,62,56.460247,36.695072,13.990932,0,2020-09-20 15:35:47,day,Fiber,OK
1600650314,58,39.56198,32.67867,13.270579,0,2020-09-21 01:05:14,night,Diode,OK
1600660155,60,58.42064,43.978046,7.678324,0,2020-09-21 03:49:15,night,CO2,OK
1600684648,57,35.343315,51.40744,0.97527146,0,2020-09-21 10:37:28,morning,Fiber,OK
1600702317,97,5.978399,63.82938,5.0413833,0,2020-09-21 15:31:57,day,Fiber,WARNING
1600715977,95,66.55663,27.589725,4.9716663,0,2020-09-21 19:19:37,day,CO2,OK
